time,t2m,skt,sp,cvh,siconc,number,latitude,longitude,expver,ssr,t2m_c,skt_c
1977-08-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1977-09-01 00:00:00,217.30725,214.94345,67021.086,0.0,,0,-90.0,335.25,0001,,-55.842743,-58.206543
1977-09-01 06:00:00,,,,,,0,-90.0,335.25,,62216.527,,
1977-10-01 00:00:00,219.83418,217.54216,67662.83,0.0,,0,-90.0,335.25,0001,,-53.31581,-55.607834
1977-10-01 06:00:00,,,,,,0,-90.0,335.25,,2209280.0,,
1977-11-01 00:00:00,234.7403,233.84566,68315.59,0.0,,0,-90.0,335.25,0001,,-38.4097,-39.304337
1977-11-01 06:00:00,,,,,,0,-90.0,335.25,,4749824.0,,
1977-12-01 00:00:00,241.42673,240.8576,69185.54,0.0,,0,-90.0,335.25,0001,,-31.723267,-32.29239
1977-12-01 06:00:00,,,,,,0,-90.0,335.25,,6443520.0,,
1978-01-01 00:00:00,242.12444,241.19237,68861.77,0.0,,0,-90.0,335.25,0001,,-31.025558,-31.957626
1978-01-01 06:00:00,,,,,,0,-90.0,335.25,,5644800.0,,
1978-02-01 00:00:00,235.65056,234.43478,68904.36,0.0,,0,-90.0,335.25,0001,,-37.499435,-38.71521
1978-02-01 06:00:00,,,,,,0,-90.0,335.25,,2998784.0,,
1978-03-01 00:00:00,224.6995,222.68657,68723.59,0.0,,0,-90.0,335.25,0001,,-48.4505,-50.463425
1978-03-01 06:00:00,,,,,,0,-90.0,335.25,,501199.8,,
1978-04-01 00:00:00,227.12045,225.6012,68743.46,0.0,,0,-90.0,335.25,0001,,-46.02954,-47.548798
1978-04-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1978-05-01 00:00:00,222.6184,220.60382,68399.25,0.0,,0,-90.0,335.25,0001,,-50.5316,-52.546173
1978-05-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
